Req_ID,Veh_ID,Tile_name,Tx1,P1,Pr1,Tx2,P2,Total delay,Distance
1,0,"(10, 10)_6_8_osm",0.0,1.2867607441355035e-07,0.0008,9.8304e-05,1.2867607441355035e-07,0.0008985613521488271,38.6028223240651
1,0,"(10, 10)_6_8_pcd",0.0,1.2867607441355035e-07,0.0008,9.8304e-05,1.2867607441355035e-07,0.0008985613521488271,38.6028223240651
3,1,"(10, 10)_6_9_osm",0.0,2.5417821160028377e-07,0.0008,9.8304e-05,2.5417821160028377e-07,0.0008988123564232007,76.25346348008513
3,1,"(10, 10)_6_9_pcd",0.0,2.5417821160028377e-07,0.0008,9.8304e-05,2.5417821160028377e-07,0.0008988123564232007,76.25346348008513
4,0,"(10, 10)_6_8_osm",0.0,1.2980464961003844e-07,0.0008,9.8304e-05,1.2980464961003844e-07,0.0008985636092992201,38.94139488301153
5,1,"(10, 10)_6_9_pcd",0.0,2.54679384776906e-07,0.0008,9.8304e-05,2.54679384776906e-07,0.0008988133587695539,76.40381543307181
6,2,"(10, 10)_4_9_osm",0.0,3.8007738744213907e-07,0.0008,9.8304e-05,3.8007738744213907e-07,0.0008990641547748844,114.02321623264173
6,2,"(10, 10)_4_9_pcd",0.0,3.8007738744213907e-07,0.0008,9.8304e-05,3.8007738744213907e-07,0.0008990641547748844,114.02321623264173
7,0,"(10, 10)_6_8_osm",0.0,1.2382998688839727e-07,0.0008,9.8304e-05,1.2382998688839727e-07,0.000898551659973777,37.14899606651918
7,0,"(10, 10)_6_8_pcd",0.0,1.2382998688839727e-07,0.0008,9.8304e-05,1.2382998688839727e-07,0.000898551659973777,37.14899606651918
8,1,"(10, 10)_6_9_osm",0.0,2.560328053641157e-07,0.0008,9.8304e-05,2.560328053641157e-07,0.0008988160656107283,76.80984160923471
9,2,"(10, 10)_4_9_pcd",0.0,3.7465506853484455e-07,0.0008,9.8304e-05,3.7465506853484455e-07,0.0008990533101370697,112.39652056045337
10,3,"(10, 10)_4_0_osm",0.0,1.1553237670686136e-06,0.0008,9.8304e-05,1.1553237670686136e-06,0.0009006146475341372,346.5971301205841
10,3,"(10, 10)_4_0_pcd",0.0,1.1553237670686136e-06,0.0008,9.8304e-05,1.1553237670686136e-06,0.0009006146475341372,346.5971301205841
11,0,"(10, 10)_6_8_pcd",0.0,1.1510656933713233e-07,0.0008,9.8304e-05,1.1510656933713233e-07,0.0008985342131386742,34.5319708011397
12,1,"(10, 10)_6_9_osm",0.0,2.5874828677340025e-07,0.0008,9.8304e-05,2.5874828677340025e-07,0.0008988214965735469,77.62448603202007
12,1,"(10, 10)_6_9_pcd",0.0,2.5874828677340025e-07,0.0008,9.8304e-05,2.5874828677340025e-07,0.0008988214965735469,77.62448603202007
13,2,"(10, 10)_4_9_osm",0.0,3.6376298909477913e-07,0.0008,9.8304e-05,3.6376298909477913e-07,0.0008990315259781895,109.12889672843374
14,3,"(10, 10)_4_0_pcd",0.0,1.1486122888290316e-06,0.0008,9.8304e-05,1.1486122888290316e-06,0.000900601224577658,344.5836866487095
15,4,"(10, 10)_7_7_osm",0.0,8.010039591753014e-08,0.0008,9.8304e-05,8.010039591753014e-08,0.0008984642007918352,24.03011877525904
15,4,"(10, 10)_7_7_pcd",0.0,8.010039591753014e-08,0.0008,9.8304e-05,8.010039591753014e-08,0.0008984642007918352,24.03011877525904
16,0,"(10, 10)_6_8_osm",0.0,1.0581263360468253e-07,0.0008,9.8304e-05,1.0581263360468253e-07,0.0008985156252672093,31.743790081404757
17,1,"(10, 10)_6_9_pcd",0.0,2.6465361826389335e-07,0.0008,9.8304e-05,2.6465361826389335e-07,0.0008988333072365279,79.39608547916801
18,2,"(10, 10)_4_9_osm",0.0,3.476191842230641e-07,0.0008,9.8304e-05,3.476191842230641e-07,0.0008989992383684461,104.28575526691924
18,2,"(10, 10)_4_9_pcd",0.0,3.476191842230641e-07,0.0008,9.8304e-05,3.476191842230641e-07,0.0008989992383684461,104.28575526691924
19,3,"(10, 10)_4_0_osm",0.0,1.1361425303152607e-06,0.0008,9.8304e-05,1.1361425303152607e-06,0.0009005762850606305,340.8427590945782
20,4,"(10, 10)_7_7_pcd",0.0,9.045669675245692e-08,0.0008,9.8304e-05,9.045669675245692e-08,0.000898484913393505,27.137009025737076
21,0,"(10, 10)_6_8_osm",0.0,9.777754665526107e-08,0.0008,9.8304e-05,9.777754665526107e-08,0.0008984995550933105,29.33326399657832
21,0,"(10, 10)_6_8_pcd",0.0,9.777754665526107e-08,0.0008,9.8304e-05,9.777754665526107e-08,0.0008984995550933105,29.33326399657832
22,1,"(10, 10)_6_9_osm",0.0,2.7515613788049954e-07,0.0008,9.8304e-05,2.7515613788049954e-07,0.0008988543122757611,82.54684136414986
23,2,"(10, 10)_4_9_pcd",0.0,3.2857417519271624e-07,0.0008,9.8304e-05,3.2857417519271624e-07,0.0008989611483503855,98.57225255781488
24,3,"(10, 10)_4_0_osm",0.0,1.1199890607436625e-06,0.0008,9.8304e-05,1.1199890607436625e-06,0.0009005439781214873,335.99671822309875
24,3,"(10, 10)_4_0_pcd",0.0,1.1199890607436625e-06,0.0008,9.8304e-05,1.1199890607436625e-06,0.0009005439781214873,335.99671822309875
25,4,"(10, 10)_7_7_osm",0.0,8.89422364745431e-08,0.0008,9.8304e-05,8.89422364745431e-08,0.0008984818844729492,26.68267094236293
26,0,"(10, 10)_6_8_pcd",0.0,8.684883366097895e-08,0.0008,9.8304e-05,8.684883366097895e-08,0.000898477697667322,26.054650098293685
