Time,Vehicle ID,X,Y,Lat,Long,Speed,tile_name,matrix_indices,row_number
0,0,1437.82,468.34,36.90706123016816,-1.1853981697363782,0.0,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",1
1,0,1434.86,469.54,36.90703464975781,-1.1853873000649835,0.0,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",2
1,1,1436.4542835198777,519.2033881872151,36.90704930781084,-1.1849382944025133,0.0,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",3
2,0,1434.4943960932876,471.0256112823126,36.90703137576535,-1.1853738658592998,1.54,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",4
2,1,1434.6172799862848,519.9378411057918,36.90703281169199,-1.1849316415157949,1.9783105810172856,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",5
2,2,1356.4628632790882,546.7733276198711,36.90633096264327,-1.1846884825538733,0.0,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",6
3,0,1431.7860714062,470.0626270860117,36.90700704137043,-1.1853825538778686,3.850451199366711,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",7
3,1,1431.2114555749522,521.2995247570857,36.90700222770991,-1.1849193069920043,3.6678092049434783,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",8
3,2,1358.5270176210247,545.9963078567597,36.906349498871904,-1.1846955218466564,2.2056335009634496,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",9
3,3,1349.2155001170008,4.602703025043772,36.90626217358232,-1.1895903028243155,0.0,"['(10, 10)_2_0_osm', '(10, 10)_2_0_pcd']","(2, 0)",10
4,0,1434.12689499022,465.1219737004548,36.907028034548745,-1.1854272393068213,6.212008801084943,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",11
4,1,1426.5725653688712,523.1542008034344,36.9069605709145,-1.184902506800945,4.995725599350409,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",12
4,2,1362.7455132918362,544.4083187998243,36.90638738121455,-1.1847099079929813,4.507635493227281,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",13
4,3,1349.4591152795929,7.096723368985519,36.90626437889088,-1.1895677555746875,2.507441041059792,"['(10, 10)_2_0_osm', '(10, 10)_2_0_pcd']","(2, 0)",14
4,4,1441.95,426.49,36.90709804414503,-1.1857765721424305,0.0,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",15
5,0,1436.726595078112,459.0033268753367,36.90705134511596,-1.185482576979194,7.176679608586244,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",16
5,1,1419.6008269870038,525.9415735593815,36.90689796536577,-1.184877257974326,7.508022470679135,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",17
5,2,1369.2070479626882,541.9759715488084,36.90644540618344,-1.1847319434748107,6.904414581856691,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",18
5,3,1349.9117699366732,11.730794218799154,36.90626847651331,-1.1895258611479016,4.65900747932028,"['(10, 10)_2_0_osm', '(10, 10)_2_0_pcd']","(2, 0)",19
5,4,1445.06,426.41427859843947,36.907125979588656,-1.1857772780192448,2.201692483876832,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",20
5,5,1525.73,389.03,36.907850354068806,-1.18611582836228,0.0,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",21
6,0,1436.8805990117014,455.033447698363,36.90705270151249,-1.1855184704983637,3.975583026365843,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",22
6,1,1410.706221329293,529.4977284417387,36.90681809265618,-1.1848450452982724,9.578801654349082,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",23
6,2,1377.2463856526538,538.9496841532787,36.90651759992196,-1.184759359668076,8.590361764281988,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",24
6,3,1350.4981914580585,17.734308897030598,36.90627378504848,-1.1894715862315397,6.035820490145124,"['(10, 10)_2_0_osm', '(10, 10)_2_0_pcd']","(2, 0)",25
6,4,1444.281574407653,421.9814418117909,36.90711895717138,-1.1858173508565562,3.78136119893752,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",26
6,5,1523.7819754176196,389.8087635501154,36.90783286097772,-1.186108774084061,2.097529332689009,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",27
6,6,1325.101304347826,507.7112293853073,36.906048988568415,-1.185041436187667,0.0,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",28
7,0,1436.7441448252548,449.599979278481,36.90705143889181,-1.1855675946330255,5.881771042867098,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",29
7,1,1400.407659199234,533.6151995708065,36.90672561255812,-1.1848077480590642,11.090754077816383,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",30
7,2,1386.8917727499838,535.3188236864908,36.90660421608691,-1.1847922529005497,10.306491370056756,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",31
7,3,1351.3161781171068,26.10848128858737,36.90628118980557,-1.1893958793274135,8.419235067791304,"['(10, 10)_2_0_osm', '(10, 10)_2_0_pcd']","(2, 0)",32
7,4,1441.8958196353867,415.27668897097504,36.907097481285454,-1.1858779535475985,6.157825691509061,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",33
7,5,1520.287293667947,391.2058356356087,36.90780147904061,-1.1860961189782966,3.7628875655122105,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",34
7,6,1324.437827875387,506.1162094987345,36.90604301798082,-1.1850558525340666,1.7275425131432711,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",35
7,7,1444.7504166666663,485.4970833333333,36.907123599985766,-1.185243096501694,0.0,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",36
8,0,1439.8323786500569,443.0206351945191,36.90707913464096,-1.1856271009035582,7.87460501968721,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",37
8,1,1388.914377386942,537.9760137114114,36.90662240240973,-1.1847682425454211,12.292581896249471,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",38
8,2,1398.1618741346954,531.0692933277262,36.90670542224517,-1.1848307507523654,12.045123617490754,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",39
8,3,1352.2843017094144,36.01968676930509,36.906289953659766,-1.1893062768381824,9.964539162279104,"['(10, 10)_2_0_osm', '(10, 10)_2_0_pcd']","(2, 0)",40
8,4,1436.903257522706,408.5349976623029,36.90705258917697,-1.185938872377983,8.076776412175969,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",41
8,5,1514.5972644418175,393.4804976408873,36.9077503830762,-1.186075514394462,6.127259199530817,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",42
8,6,1323.1965886201997,503.1322283354835,36.90603184813786,-1.1850828227968984,3.231905985204503,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",43
